"plan_name","arr_amount","seats"
"teams-yearly",2112.0,11
"professional-yearly",103.2,1
"professional-yearly",144.0,1
"professional-yearly",144.0,1
"essentials-yearly",96.0,1
"essentials-monthly",120.0,1
"professional-monthly",1080.0,6
"professional-yearly",103.2,1
"professional-monthly",180.0,1
"professional-yearly",412.8,4
"professional-yearly",103.2,1
"essentials-monthly",120.0,1
"professional-monthly",129.0,1
"professional-yearly",144.0,1
"professional-yearly",144.0,1
"professional-monthly",129.0,1
"professional-yearly",144.0,1
"professional-monthly",180.0,1
"professional-yearly",144.0,1
"teams-yearly",2786.4,36
"professional-yearly",103.2,1
"professional-monthly",129.0,1
"professional-yearly",144.0,1
"professional-monthly",387.0,3
"essentials-monthly",120.0,1
"professional-yearly",432.0,3
"professional-yearly",103.2,1
"teams-yearly",4334.400000000001,28
"professional-yearly",144.0,1
"professional-monthly",180.0,1
"professional-yearly",103.2,1
"professional-yearly",144.0,1
"essentials-yearly",96.0,1
"professional-yearly",103.2,1
"professional-yearly",103.2,1
"professional-monthly",180.0,1
"professional-yearly",144.0,1
"teams-yearly",1536.0,8
"professional-monthly",180.0,1
"professional-monthly",129.0,1
"professional-yearly",144.0,1
"professional-yearly",103.2,1
"professional-yearly",144.0,1
"professional-yearly",576.0,4
"essentials-yearly",96.0,1
"professional-yearly",144.0,1
"professional-yearly",103.2,1
"teams-monthly",2880.0,12
"teams-monthly",774.24,4
"teams-monthly",1161.0,9
"professional-monthly",180.0,1
"essentials-yearly",96.0,1
"professional-monthly",129.0,1
"professional-yearly",206.4,2
"professional-monthly",258.0,2
"professional-yearly",206.4,2
"professional-yearly",103.2,1
"professional-yearly",103.2,1
"essentials-monthly",120.0,1
"professional-yearly",103.2,1
"professional-yearly",206.4,2
"professional-monthly",180.0,1
"essentials-monthly",120.0,1
"professional-yearly",144.0,1
"professional-monthly",180.0,1
"essentials-monthly",120.0,1
"professional-yearly",103.2,1
"teams-monthly",903.0,7
"essentials-monthly",120.0,1
"professional-yearly",103.2,1
"professional-yearly",144.0,1
"essentials-yearly",96.0,1
"professional-monthly",258.0,2
"professional-monthly",180.0,1
"teams-yearly",2889.6,28
"essentials-monthly",120.0,1
"essentials-yearly",96.0,1
"professional-monthly",180.0,1
"professional-monthly",180.0,1
"professional-yearly",103.2,1
"professional-yearly",103.2,1
"professional-yearly",432.0,3
"essentials-yearly",96.0,1
"essentials-yearly",96.0,1
"professional-monthly",129.0,1
"teams-yearly",516.0,5
"teams-monthly",1935.6,10
"professional-yearly",103.2,1
"professional-yearly",144.0,1
"essentials-yearly",96.0,1
"professional-yearly",144.0,1
"teams-monthly",1161.3600000000001,6
"teams-monthly",1354.92,7
"professional-yearly",144.0,1
"essentials-monthly",120.0,1
"professional-yearly",144.0,1
"professional-yearly",144.0,1
"professional-yearly",288.0,2
"professional-yearly",103.2,1
"teams-monthly",2516.28,13
"essentials-monthly",120.0,1
"professional-yearly",288.0,2
"professional-yearly",144.0,1
"essentials-monthly",120.0,1
"professional-monthly",7353.0,57
"professional-yearly",144.0,1
"professional-yearly",103.2,1
"professional-yearly",144.0,1
"essentials-monthly",120.0,1
"professional-monthly",180.0,1
"professional-yearly",432.0,3
"professional-yearly",144.0,1
"essentials-monthly",120.0,1
"professional-yearly",144.0,1
"professional-yearly",144.0,1
"teams-monthly",774.0,6
"professional-yearly",103.2,1
"professional-yearly",309.6,3
"professional-yearly",103.2,1
"professional-yearly",722.4,7
"essentials-monthly",120.0,1
"professional-yearly",144.0,1
"professional-monthly",180.0,1
"professional-yearly",144.0,1
"professional-yearly",103.2,1
"professional-yearly",103.2,1
"professional-monthly",540.0,3
"professional-yearly",144.0,1
"teams-yearly",1444.8,14
"professional-monthly",129.0,1
"professional-yearly",144.0,1
"essentials-yearly",96.0,1
"professional-monthly",180.0,1
"teams-yearly",619.2,6
"professional-yearly",619.2,6
"essentials-yearly",96.0,1
"professional-monthly",516.0,4
"professional-monthly",900.0,5
"essentials-yearly",96.0,1
"essentials-yearly",96.0,1
"professional-yearly",108.0,1
"professional-yearly",1315.8000000000002,17
"teams-yearly",206.4,2
"essentials-monthly",120.0,1
"essentials-monthly",120.0,1
"essentials-yearly",96.0,1
"essentials-monthly",120.0,1
"professional-yearly",103.2,1
"professional-yearly",144.0,1
"professional-monthly",180.0,1
"professional-yearly",103.2,1
"essentials-yearly",96.0,1
"professional-yearly",144.0,1
"professional-monthly",180.0,1
"professional-monthly",180.0,1
"teams-yearly",384.0,2
"professional-monthly",180.0,1
"professional-yearly",144.0,1
"professional-monthly",129.0,1
"professional-monthly",540.0,3
"professional-yearly",2016.0,14
"teams-monthly",774.24,4
"professional-yearly",144.0,1
"professional-yearly",144.0,1
"professional-yearly",77.4,1
"professional-yearly",103.2,1
"professional-monthly",180.0,1
"essentials-monthly",120.0,1
"essentials-monthly",120.0,1
"professional-monthly",180.0,1
"professional-yearly",206.4,2
"professional-yearly",288.0,2
"professional-yearly",144.0,1
"professional-monthly",129.0,1
"professional-yearly",1135.2,11
"professional-yearly",103.2,1
"professional-monthly",180.0,1
"professional-yearly",144.0,1
"teams-monthly",774.0,6
"professional-yearly",432.0,3
"essentials-yearly",96.0,1
"professional-yearly",144.0,1
"professional-yearly",103.2,1
"essentials-monthly",0.0,0
"professional-yearly",103.2,1
"professional-yearly",103.2,1
"teams-monthly",720.0,3
"essentials-monthly",120.0,1
"professional-monthly",180.0,1
"teams-yearly",774.0,10
"essentials-monthly",120.0,1
"professional-monthly",387.0,3
"professional-yearly",103.2,1
"professional-monthly",180.0,1
"essentials-yearly",96.0,1
"professional-yearly",144.0,1
"professional-yearly",144.0,1
"essentials-yearly",96.0,1
"professional-yearly",144.0,1
"professional-monthly",129.0,1
"professional-yearly",144.0,1
"professional-yearly",103.2,1
"professional-yearly",619.2,6
"essentials-monthly",120.0,1
"teams-monthly",2160.0,9
"professional-monthly",129.0,1
"teams-yearly",3065.0400000000004,22
"professional-monthly",180.0,1
"essentials-yearly",96.0,1
"teams-yearly",4179.6,27
"essentials-yearly",96.0,1
"professional-yearly",103.2,1
"professional-yearly",144.0,1
"professional-monthly",774.0,6
"professional-yearly",154.8,2
"professional-monthly",129.0,1
"professional-yearly",103.2,1
"professional-yearly",103.2,1
"professional-yearly",144.0,1
"professional-yearly",103.2,1
"professional-yearly",288.0,2
"professional-yearly",103.2,1
"essentials-monthly",120.0,1
"professional-yearly",144.0,1
"professional-monthly",180.0,1
"professional-monthly",180.0,1
"professional-yearly",103.2,1
"professional-yearly",722.4,7
"professional-monthly",129.0,1
"teams-yearly",14235.408000000003,121
"professional-monthly",540.0,3
"essentials-monthly",120.0,1
"teams-yearly",206.4,2
"teams-monthly",387.0,3
"professional-monthly",180.0,1
"essentials-monthly",120.0,1
"essentials-monthly",120.0,1
"professional-yearly",144.0,1
"professional-monthly",1806.0,14
"professional-monthly",180.0,1
"professional-yearly",103.2,1
"professional-monthly",7560.0,42
"essentials-yearly",96.0,1
"essentials-yearly",96.0,1
"essentials-yearly",96.0,1
"professional-yearly",516.0,5
"professional-yearly",144.0,1
"professional-yearly",103.2,1
"professional-monthly",3240.0,18
"professional-yearly",144.0,1
"essentials-monthly",120.0,1
"teams-yearly",774.0,10
"professional-monthly",387.0,3
"teams-yearly",464.40000000000003,3
"teams-yearly",576.0,3
"professional-yearly",309.6,3
"professional-monthly",180.0,1
"professional-yearly",103.2,1
"essentials-yearly",96.0,1
"professional-yearly",103.2,1
"professional-yearly",103.2,1
"professional-yearly",144.0,1
"professional-monthly",387.0,3
"professional-yearly",103.2,1
"professional-yearly",144.0,1
"teams-yearly",9195.12,66
"professional-yearly",309.6,3
"teams-yearly",464.40000000000003,3
"professional-monthly",180.0,1
"professional-yearly",144.0,1
"professional-yearly",103.2,1
"professional-yearly",144.0,1
"professional-yearly",144.0,1
"professional-monthly",360.0,2
"professional-yearly",144.0,1
"professional-yearly",825.6,8
"teams-monthly",960.0,4
"professional-yearly",288.0,2
"professional-yearly",103.2,1
"enterprise-yearly",9450.0,35
"professional-yearly",288.0,2
"essentials-yearly",96.0,1
"professional-yearly",144.0,1
"essentials-yearly",96.0,1
"teams-monthly",1032.0,8
"professional-monthly",129.0,1
"professional-monthly",129.0,1
"professional-monthly",180.0,1
"professional-yearly",144.0,1
"essentials-monthly",120.0,1
"essentials-yearly",96.0,1
"professional-yearly",144.0,1
"essentials-monthly",120.0,1
"professional-yearly",103.2,1
"professional-yearly",432.0,3
"professional-yearly",144.0,1
"professional-yearly",144.0,1
"professional-yearly",1238.4,12
"professional-yearly",1238.4,16
"professional-yearly",103.2,1
"essentials-monthly",120.0,1
"essentials-monthly",120.0,1
"teams-monthly",967.2,5
"teams-yearly",576.0,3
"professional-yearly",309.6,3
"professional-yearly",103.2,1
"essentials-monthly",120.0,1
"teams-monthly",1200.0,5
"professional-yearly",144.0,1
"professional-yearly",103.2,1
"professional-yearly",103.2,1
"teams-yearly",0.0,0
"essentials-yearly",96.0,1
"professional-yearly",103.2,1
"teams-yearly",464.40000000000003,3
"professional-monthly",180.0,1
"professional-yearly",103.2,1
"essentials-yearly",96.0,1
"professional-yearly",619.2,6
